i;ID_QR;ID_xls;CHACRA_ID_QR;CANAL;LOTE;CHACRA;SUPERFICIE;ID_CAMPAÑA;ACTIVIDAD
910;Chacra Vieja2 21;Chacra Vieja 2 21;Chacra Vieja;2;21;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
911;Chacra Vieja2 22;Chacra Vieja 2 22;Chacra Vieja;2;22;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
912;Chacra Vieja2 23;Chacra Vieja 2 23;Chacra Vieja;2;23;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
913;Chacra Vieja2 24;Chacra Vieja 2 24;Chacra Vieja;2;24;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
914;Chacra Vieja2 25;Chacra Vieja 2 25;Chacra Vieja;2;25;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
915;Chacra Vieja2 26;Chacra Vieja 2 26;Chacra Vieja;2;26;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
916;Chacra Vieja2 27;Chacra Vieja 2 27;Chacra Vieja;2;27;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
917;Chacra Vieja2 28;Chacra Vieja 2 28;Chacra Vieja;2;28;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
918;Chacra Vieja2 29;Chacra Vieja 2 29;Chacra Vieja;2;29;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
919;Chacra Vieja2 30;Chacra Vieja 2 30;Chacra Vieja;2;30;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
920;Chacra Vieja2 31;Chacra Vieja 2 31;Chacra Vieja;2;31;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
921;Chacra Vieja2 32;Chacra Vieja 2 32;Chacra Vieja;2;32;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
922;Chacra Vieja2 33;Chacra Vieja 2 33;Chacra Vieja;2;33;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
923;Chacra Vieja2 34;Chacra Vieja 2 34;Chacra Vieja;2;34;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
924;Chacra Vieja2 35;Chacra Vieja 2 35;Chacra Vieja;2;35;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
925;Chacra Vieja2 36;Chacra Vieja 2 36;Chacra Vieja;2;36;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
926;Chacra Vieja2 37;Chacra Vieja 2 37;Chacra Vieja;2;37;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
